iter	RMSE
0	3.866678606
1	3.687782862
2	3.52675392
3	3.380119972
4	3.244104957
5	3.120110707
6	3.008262218
7	2.918661468
8	2.83819203
9	2.764482302
10	2.70121644
11	2.6350871
12	2.579591392
13	2.516578274
14	2.470621235
15	2.434967632
16	2.396090077
17	2.361875538
18	2.325840528
19	2.299406176
20	2.271063891
21	2.252944977
22	2.225292845
23	2.202875892
24	2.177470794
25	2.156110938
26	2.13758313
27	2.118574817
28	2.101959363
29	2.088139978
30	2.07662644
31	2.065590323
32	2.052413823
33	2.042576813
34	2.03340289
35	2.022789068
36	2.013663254
37	2.004588804
38	1.993418679
39	1.985755002
40	1.97881361
41	1.968007433
42	1.958588189
43	1.949522198
44	1.939763799
45	1.930300397
46	1.920108427
47	1.913832785
48	1.907234085
49	1.901976481
50	1.891924934
51	1.883877401
52	1.875186167
53	1.865440752
54	1.854684913
55	1.843823165
56	1.835970282
57	1.827739176
58	1.819098876
59	1.813950324
60	1.807165318
61	1.798259824
62	1.790631414
63	1.785707535
64	1.775408757
65	1.764796977
66	1.759081041
67	1.755771877
68	1.75021874
69	1.74407181
70	1.740062806
71	1.734614753
72	1.731037355
73	1.725529907
74	1.718952141
75	1.709266596
76	1.702561845
77	1.69893607
78	1.695736119
79	1.689576674
80	1.682549603
81	1.677069235
82	1.670396949
83	1.665024262
84	1.659511556
85	1.656335875
86	1.652379611
87	1.643324911
88	1.637714744
89	1.632722485
90	1.624488504
91	1.619876037
92	1.614944491
93	1.608658976
94	1.599840115
95	1.596384007
96	1.593053113
97	1.588083675
98	1.583610699
99	1.579744305
100	1.573273345
101	1.569485391
102	1.560844672
103	1.550881863
104	1.549019266
105	1.541623489
106	1.532812002
107	1.525087151
108	1.521504368
109	1.517612406
110	1.509318553
111	1.50119363
112	1.497331281
113	1.490435457
114	1.486436733
115	1.479638497
116	1.471278508
117	1.466638723
118	1.462861451
119	1.45560704
120	1.448079198
121	1.442488255
122	1.435946857
123	1.431273455
124	1.427989571
125	1.425204372
126	1.421179454
127	1.412973268
128	1.408918754
129	1.401269351
130	1.394873742
131	1.391631918
132	1.389138832
133	1.382749907
134	1.379907343
135	1.373627949
136	1.368095469
137	1.363303414
138	1.360836832
139	1.358199307
140	1.356043642
141	1.349496448
142	1.3464968
143	1.344232481
144	1.337618637
145	1.332658442
146	1.330272091
147	1.327981583
148	1.321318684
149	1.316611397
150	1.312010833
151	1.30814734
152	1.302264749
153	1.297306992
154	1.294914916
155	1.290957058
156	1.288235817
157	1.285758409
158	1.281312925
159	1.279093108
160	1.274466441
161	1.271316211
162	1.265614089
163	1.2606951
164	1.258332039
165	1.255709767
166	1.251575062
167	1.246961099
168	1.244314842
169	1.240311171
170	1.235567332
171	1.232907299
172	1.227841652
173	1.225714684
174	1.222326562
175	1.219171765
176	1.213842401
177	1.212148697
178	1.209833407
179	1.206757865
180	1.203639385
181	1.201917136
182	1.196930668
183	1.192271758
184	1.189812122
185	1.188308185
186	1.185166911
187	1.182824793
188	1.179064126
189	1.174200514
190	1.170325005
191	1.166640091
192	1.164860172
193	1.162146147
194	1.158212735
195	1.15388788
196	1.150280529
197	1.147365
198	1.142758281
199	1.139127453
