iter	Passed	Remaining
0	111	22122
1	113	11266
2	116	7630
3	119	5848
4	123	4821
5	127	4131
6	131	3616
7	134	3221
8	137	2913
9	140	2665
10	142	2453
11	145	2279
12	148	2130
13	150	2002
14	153	1889
15	155	1792
16	159	1713
17	161	1636
18	164	1566
19	167	1506
20	170	1449
21	172	1395
22	175	1351
23	178	1307
24	180	1266
25	183	1228
26	187	1198
27	189	1166
28	192	1136
29	196	1110
30	198	1084
31	201	1059
32	205	1037
33	208	1015
34	210	993
35	213	972
36	216	953
37	219	933
38	221	915
39	224	898
40	227	882
41	230	867
42	233	851
43	235	836
44	238	822
45	241	808
46	244	795
47	247	782
48	249	769
49	252	757
50	255	746
51	258	734
52	260	723
53	263	712
54	266	703
55	269	692
56	272	682
57	274	673
58	277	663
59	280	654
60	283	645
61	285	636
62	289	628
63	291	620
64	295	613
65	298	605
66	300	597
67	303	589
68	306	581
69	308	573
70	311	565
71	314	558
72	316	551
73	319	544
74	322	537
75	325	531
76	328	524
77	331	518
78	334	511
79	336	505
80	339	499
81	342	492
82	345	487
83	348	480
84	350	474
85	353	469
86	356	463
87	359	457
88	362	451
89	365	446
90	368	441
91	371	435
92	373	430
93	377	425
94	379	419
95	382	414
96	385	408
97	388	403
98	390	398
99	393	393
100	396	388
101	399	384
102	402	379
103	405	374
104	408	369
105	411	364
106	414	359
107	417	355
108	420	350
109	423	346
110	426	342
111	428	337
112	431	332
113	434	327
114	437	323
115	439	318
116	442	314
117	445	309
118	448	305
119	451	300
120	453	296
121	457	292
122	461	288
123	464	284
124	467	280
125	471	276
126	474	272
127	477	268
128	480	264
129	484	260
130	486	256
131	490	252
132	493	248
133	496	244
134	498	240
135	501	236
136	504	232
137	507	227
138	509	223
139	512	219
140	515	215
141	518	211
142	520	207
143	523	203
144	526	199
145	529	195
146	532	191
147	534	187
148	537	183
149	539	179
150	543	176
151	545	172
152	548	168
153	551	164
154	553	160
155	556	157
156	559	153
157	562	149
158	565	145
159	568	142
160	570	138
161	573	134
162	576	130
163	578	127
164	581	123
165	584	119
166	587	116
167	589	112
168	592	108
169	595	105
170	597	101
171	600	97
172	603	94
173	605	90
174	608	86
175	611	83
176	614	79
177	617	76
178	620	72
179	623	69
180	625	65
181	629	62
182	631	58
183	634	55
184	637	51
185	640	48
186	643	44
187	646	41
188	649	37
189	651	34
190	654	30
191	657	27
192	659	23
193	662	20
194	665	17
195	668	13
196	671	10
197	673	6
198	676	3
199	678	0
