system:index,AirTemp,BuiltSurface,Elevation,LST,LULC,NDBI,NDVI,PopulationDensity,UrbanClass,WaterDistance,WindSpeed,.geo,Longitude,Latitude
0,28.63506505,73,600,50.81160776,50,0.054347826,0.086455331,129.1022797,30,308.058436,2.199088634,"{""type"":""Point"",""coordinates"":[73.855772057789,18.629668471355398]}",73.85577206,18.62966847
1,26.60724477,0,593,44.60790146,40,0.003653635,0.377968671,0,21,143.1782106,1.532930593,"{""type"":""Point"",""coordinates"":[73.71240340517498,18.410803082585126]}",73.71240341,18.41080308
2,27.79409916,34,622,44.07127232,50,-0.023954527,0.267336683,169.6432495,30,315.7530681,1.964554078,"{""type"":""Point"",""coordinates"":[73.78117189613586,18.513841538920648]}",73.7811719,18.51384154
3,27.67938471,0,594,45.95801936,20,0.126662574,0.429336906,0,21,355.1056181,1.956266523,"{""type"":""Point"",""coordinates"":[73.73842470859229,18.69209452473875]}",73.73842471,18.69209452
4,29.29183769,0,656,55.69595834,30,0.190257353,0.164958678,0,11,344.0930107,2.224560324,"{""type"":""Point"",""coordinates"":[74.06662721422913,18.585145284962653]}",74.06662721,18.58514528
5,28.9400636,0,588,47.76956996,40,-0.250475828,0.646203959,2.740958214,12,72.11102551,2.351222966,"{""type"":""Point"",""coordinates"":[74.09678515181804,18.452805618311203]}",74.09678515,18.45280562
6,28.88797394,0,558,46.4433782,10,0.061538462,0.251025431,0,11,382.7531842,2.221364185,"{""type"":""Point"",""coordinates"":[73.96900884336881,18.660478193862794]}",73.96900884,18.66047819
7,28.94811934,0,583,47.776406,30,0.033957336,0.329140461,0,12,421.0700654,2.199623125,"{""type"":""Point"",""coordinates"":[74.05488315870276,18.698085629181122]}",74.05488316,18.69808563
8,27.62282456,0,622,50.19294614,20,-0.100642398,0.528624535,6.373515129,11,472.0169488,2.332534389,"{""type"":""Point"",""coordinates"":[74.0028540226559,18.438965360986664]}",74.00285402,18.43896536
9,28.88797394,0,595,51.11239352,30,0.197682839,0.134664619,0.155883387,12,1059.481005,2.221364185,"{""type"":""Point"",""coordinates"":[73.9542422848199,18.685626539373775]}",73.95424228,18.68562654
10,28.63506505,0,603,55.87027736,40,0.147416051,0.155211359,0,30,537.1219601,2.199088634,"{""type"":""Point"",""coordinates"":[73.86165262766,18.632028976829467]}",73.86165263,18.63202898
11,29.12462849,0,577,44.11228856,80,0.152129817,0.153633855,0.280396879,30,0,2.241365912,"{""type"":""Point"",""coordinates"":[73.98005234018257,18.58617806613616]}",73.98005234,18.58617807
12,28.63506505,16,555,46.84670456,50,-0.131028596,0.544739143,330.2688904,30,332.4154028,2.199088634,"{""type"":""Point"",""coordinates"":[73.90025043709592,18.551259167018586]}",73.90025044,18.55125917
13,28.94811934,0,558,46.238297,40,-0.240884883,0.64709081,0,12,493.9635614,2.199623125,"{""type"":""Point"",""coordinates"":[74.06930036811188,18.657838074152192]}",74.06930037,18.65783807
14,27.71183371,0,714,52.11387338,30,0.205403088,0.15595758,0,21,194.1648784,1.864115503,"{""type"":""Point"",""coordinates"":[73.70810691452893,18.602574506214424]}",73.70810691,18.60257451
15,28.12798588,0,603,52.02842288,30,0.209209572,0.157336163,0,21,382.7531842,2.080543428,"{""type"":""Point"",""coordinates"":[73.75340434119524,18.69718890863739]}",73.75340434,18.69718891
16,29.12462849,0,607,52.32920864,30,0.14178515,0.177139762,3.049709797,21,857.0297544,2.241365912,"{""type"":""Point"",""coordinates"":[74.0432103516609,18.57586849622654]}",74.04321035,18.5758685
17,28.94811934,81,585,53.72034278,50,0.127309645,0.193888889,29.39491081,30,131.5294644,2.199623125,"{""type"":""Point"",""coordinates"":[74.0978987637947,18.671316369540662]}",74.09789876,18.67131637
18,27.67938471,75,578,45.36328388,50,-0.017638589,0.291752342,84.86573792,30,342.0526275,1.956266523,"{""type"":""Point"",""coordinates"":[73.73204063766073,18.652673161115086]}",73.73204064,18.65267316
19,28.14696374,26,603,43.92429746,50,-0.120110446,0.423669331,283.6954651,30,349.8571137,2.087858749,"{""type"":""Point"",""coordinates"":[73.78987556843367,18.551460942960944]}",73.78987557,18.55146094
20,28.58830398,63,547,47.67044738,50,0.064189886,0.093056895,32.8127327,21,202.2374842,2.26777321,"{""type"":""Point"",""coordinates"":[73.99644414750172,18.497333889859007]}",73.99644415,18.49733389
21,28.88797394,0,586,45.08300624,40,0.019183473,0.260031596,0,12,636.3175308,2.221364185,"{""type"":""Point"",""coordinates"":[74.02333968575485,18.694284485475563]}",74.02333969,18.69428449
22,29.12462849,0,595,55.30630406,40,0.165287302,0.165785997,1.08063066,30,488.3646179,2.241365912,"{""type"":""Point"",""coordinates"":[73.95863297565768,18.592639408415614]}",73.95863298,18.59263941
23,29.12462849,0,573,53.60071208,30,0.04985889,0.096039067,0.141773701,21,898.0534505,2.241365912,"{""type"":""Point"",""coordinates"":[73.99879912656131,18.568704806416275]}",73.99879913,18.56870481
24,28.94811934,0,600,53.1426974,10,0.103857567,0.05496041,3.795421839,21,400.2499219,2.199623125,"{""type"":""Point"",""coordinates"":[74.08606363803666,18.678080475950885]}",74.08606364,18.67808048
25,28.63506505,0,604,55.20034544,30,0.200795229,0.159987175,0,11,632.455532,2.199088634,"{""type"":""Point"",""coordinates"":[73.86774341749373,18.64057000315526]}",73.86774342,18.64057
26,28.14696374,0,554,41.67865832,10,0.012651691,0.41472438,0,30,164.0121947,2.087858749,"{""type"":""Point"",""coordinates"":[73.84872162219335,18.575083993249883]}",73.84872162,18.57508399
27,27.71183371,0,578,47.31155528,40,0.08716707,0.168086755,0.143622831,11,283.019434,1.864115503,"{""type"":""Point"",""coordinates"":[73.70080641417147,18.55380055142552]}",73.70080641,18.55380055
28,29.12462849,0,564,54.32533232,30,0.095928226,0.139460713,7.857413292,21,1125.077775,2.241365912,"{""type"":""Point"",""coordinates"":[74.02211093596284,18.56205762761066]}",74.02211094,18.56205763
29,29.12462849,17,599,52.561634,50,0.04679041,0.1328125,56.06047058,30,578.0138407,2.241365912,"{""type"":""Point"",""coordinates"":[74.00297126746833,18.59463921626594]}",74.00297127,18.59463922
30,28.14696374,25,585,46.6313693,10,-0.15907099,0.603030303,64.74961853,30,626.2587325,2.087858749,"{""type"":""Point"",""coordinates"":[73.8200221583367,18.626438946466084]}",73.82002216,18.62643895
31,29.12462849,11,587,51.30380264,50,0.05542684,0.122168114,11.5466795,21,98.48857802,2.241365912,"{""type"":""Point"",""coordinates"":[73.98594316081686,18.618106883564955]}",73.98594316,18.61810688
32,28.12798588,53,592,51.02010698,50,0.119820372,0.115076287,56.7850914,30,248.394847,2.080543428,"{""type"":""Point"",""coordinates"":[73.79509779344009,18.69375697915817]}",73.79509779,18.69375698
33,28.1694283,59,595,46.81594238,50,0.099696663,0.100890208,291.8154602,30,1104.943437,2.192059992,"{""type"":""Point"",""coordinates"":[73.91890151938881,18.474171373478555]}",73.91890152,18.47417137
34,28.63506505,0,620,55.61392586,30,0.27134287,0.175725987,5.166863441,30,684.6897107,2.199088634,"{""type"":""Point"",""coordinates"":[73.86452038294543,18.638388172405936]}",73.86452038,18.63838817
35,27.14588591,0,661,47.64652124,20,0.116801999,0.16988417,7.450995445,30,315.7530681,1.810214569,"{""type"":""Point"",""coordinates"":[73.8309290261912,18.432756910807687]}",73.83092903,18.43275691
36,28.58830398,0,564,52.0660211,20,0.080365297,0.140753328,0,12,340.147027,2.26777321,"{""type"":""Point"",""coordinates"":[73.97573239285576,18.483173714359374]}",73.97573239,18.48317371
37,27.79409916,11,564,44.99755574,50,-0.17309417,0.674775928,41.04190826,30,78.10249676,1.964554078,"{""type"":""Point"",""coordinates"":[73.7896406994252,18.459783479031945]}",73.7896407,18.45978348
